"374","Lumakanda","12"
"375","Lusheya-Lubinu-Makunga","12"
"376","Lwandeti","12"
"377","Mahiakalo","12"
"378","Manda - Shivanga","12"
"379","Marama Central","12"
"380","Marama North","12"
"381","Marama South","12"
"382","Marama West","12"
"383","Marenyo-Shianda","12"
"384","Mautuma","12"
"385","Mayoni","12"
"386","Mumias Central","12"
"387","Mumias North","12"
"388","Murhanda","12"
"389","Musanda","12"
"390","Namamali","12"
"391","Nzoia","12"
"392","Sango","12"
"393","Sheywe","12"
"394","Shinoyi-Shikomari-Esumeiya","12"
"395","Shirere","12"
"396","Shirugu-Mugai","12"
"397","Sinoko","12"
"398","South Kabras","12"
"399","West Kabras","12"
"400","Ainamoi","13"
"401","Chaik","13"
"402","Cheboin","13"
"403","Chemosot","13"
"404","Cheptororiet / Seretutut","13"
"405","ChilChila","13"
"406","Kabianga","13"
"407","Kamasian","13"
"408","Kapkatet","13"
"409","Kapkugerwet","13"
"410","Kaplelartet","13"
"411","Kapsaos","13"
"412","Kapsoit","13"
"413","Kapsuser","13"
"414","Kipchebor","13"
"415","Kipchimchim","13"
"416","Kipkelion","13"
"417","Kisiara","13"
"418","Kunyak","13"
"419","Litein","13"
"420","Sigowet","13"
"421","Soin","13"
"422","Soliat","13"
"423","Tebesonik","13"
"424","Techoget","13"
"425","Waldai","13"
"426","Biashara","14"
"427","Bibirioni","14"
"428","Cianda","14"
"429","Gachie","14"
"430","Gatamaiyo","14"
"431","Gathaiti","14"
"432","Gatongora","14"
"433","Gitaru","14"
"434","Githiga","14"
"435","Githunguri","14"
"436","Gitothua","14"
"437","Gituamba","14"
"438","Hospital","14"
"439","Ikinu","14"
"440","Juju","14"
"441","Kabete","14"
"442","Kahawa / Sukari","14"
"443","Kahawa Wendani","14"
"444","Kalimoni","14"
"445","Kamenu","14"
"446","Kamwangi","14"
"447","Karai","14"
"448","Kiambaa","14"
"449","Kiamwangi","14"
"450","Kiganjo","14"
"451","Kijabe","14"
"452","Kikuyu","14"
"453","Kinale","14"
"454","Kinoo","14"
"455","Kirenga","14"
"456","Kiuu","14"
"457","Komothai","14"
"458","Limuru Central","14"
"459","Limuru East","14"
"460","Makongeni","14"
"461","Mang'u","14"
"462","Muchatha","14"
"463","Muguga","14"
"464","Murera","14"
"465","Mwihoko","14"
"466","Mwiki","14"
"467","Nachu","14"
"468","Ndarugo","14"
"469","Ndeiya","14"
"470","Ndenderu","14"
"471","Ndumberi","14"
"472","Ngecha Tigoni","14"
"473","Ngenda","14"
"474","Ngewa","14"
"475","Ngoliba / Gatuanyaga","14"
"476","Nyadhuna","14"
"477","Nyanduma","14"
"478","Riabai","14"
"479","Sigona","14"
"480","Theta","14"
"481","Ting'ang'a","14"
"482","Township","14"
"483","Township","14"
"484","Uthiru","14"
"485","Witeithie","14"
"486","Adu","15"
"487","Bamba","15"
"488","Chasimba","15"
"489","Dabaso","15"
"490","Dungicha","15"
"491","Ganda","15"
"492","Garashi","15"
"493","Gongoni","15"
"494","Jaribuni","15"
"495","Jibana","15"
"496","Jilore","15"
"497","Junju","15"
"498","Kakuyuni","15"
"499","Kaloleni","15"
"500","Kayafungo","15"
"501","Kibarani","15"
"502","Magarini","15"
"503","Malindi Town","15"
"504","Marafa","15"
"505","Mariakani","15"
"506","Matsangoni","15"
"507","Mazeras","15"
"508","Mnarani","15"
"509","Mtepeni","15"
"510","Mwanamwinga","15"
"511","Mwarakaya","15"
"512","Mwawesa","15"
"513","Ruruma","15"
"514","Sabaki","15"
"515","Shella","15"
"516","Shimo la Tewa","15"
"517","Sokoke","15"
"518","Sokoni","15"
"519","Tezo","15"
"520","Watamu","15"
"521","Baragwi","16"
"522","Gathigiriri","16"
"523","Inoi","16"
"524","Kabare","16"
"525","Kangai","16"
"526","Kanyekini","16"
"527","Kariti","16"
"528","Karumandi","16"
"529","Kerugoya","16"
"530","Kiine","16"
"531","Mukure","16"
"532","Murinduko","16"
"533","Mutira","16"
"534","Mutithi","16"
"535","Ngariama","16"
"536","Njukiine","16"
"537","Nyangati","16"
"538","Tebere","16"
"539","Thiba","16"
"540","Wamumu","16"
"541","Basi Central","17"
"542","Bassi Bogetaorio","17"
"543","Birongo","17"
"544","Bobaracho","17"
"545","Bobasi / Boitangare","17"
"546","Bobasi Chache","17"
"547","Bogeka","17"
"548","Bogetenga","17"
"549","Bogiakumu","17"
"550","Bogusero","17"
"551","Boikanga","17"
"552","Bokeira","17"
"553","Bokimonge","17"
"554","Bomariba","17"
"555","Boochi / Tendere","17"
